                                                                                                                                                                                                                                                                                                                              
                 MODELO                                  ANCHO                               N.º FILTROS                   M3/H            FONDO                                    N.º FILTROS   M3/H          FONDO                 N.º FILTRO   M3/H         FONDO                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       2000                                     4                        4000             800                                          4        4000           1000                     4        4000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       2200                                     4                        4000             800                                          4        4000           1000                     4        4000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       2400                                     4                        4000             800                                          4        4000           1000                     4        4000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       2500                                     5                        5000             800                                          5        5000           1000                     5        5000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       2700                                     5                        5000             800                                          5        5000           1000                     5        5000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       2900                                     5                        5000             800                                          5        5000           1000                     5        5000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       3000                                     6                        6000             800                                          6        6000           1000                     6        6000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       3200                                     6                        6000             800                                          6        6000           1000                     6        6000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       3400                                     6                        6000             800                                          6        6000           1000                     6        6000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       3500                                     7                        7000             800                                          7        7000           1000                     7        7000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       3600                                     7                        7000             800                                          6        7000           1000                     6        7000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       3700                                     7                        7000             800                                          7        7000           1000                     7        7000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       3900                                     7                        7000             800                                          7        7000           1000                     7        7000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       4000                                     8                        8000             800                                          8        8000           1000                     8        8000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       4200                                     8                        8000             800                                          8        8000           1000                     8        8000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       4400                                     8                        8000             800                                          8        8000           1000                     8        8000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       4500                                     9                        9000             800                                          9        9000           1000                     9        9000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       4600                                     9                        9000             800                                          8        9000           1000                     8        9000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       4700                                     9                        9000             800                                          9        9000           1000                     9        9000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       4900                                     9                        9000             800                                          9        9000           1000                     9        9000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       5000                                    10                       10000             800                                         10        10000          1000                     10      10000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       5100                                     9                        9000             800                                          9        9000           1000                     9        9000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       5200                                    10                       10000             800                                         10        10000          1000                     10      10000          1200                                                         
