                                                                                                                                                                                                                                                                                                                              
                 MODELO                                  ANCHO                               N.º FILTROS                   M3/H            FONDO                                    N.º FILTROS   M3/H          FONDO                 N.º FILTRO   M3/H         FONDO                                                         
     CAMPANA LOW COMPENSADA CENTRAL                      5900                                    22                       22000            1400                                         22        22000          1800                     22      22000          2200                      22         22000         2500      
     CAMPANA LOW COMPENSADA CENTRAL                      6000                                    24                       24000            1400                                         24        24000          1800                     24      24000          2200                      24         24000         2500      
                                                                                                                                                                                                                                                                                                                              
                 MODELO                            MOTOR/VENTILADOR                             ANCHO                  N.º FILTROS         M3/H              FONDO                             N.º FILTROS       M3/H         FONDO             N.º FILTRO       M3/H         FONDO                N.º FILTROS      M3/H        FONDO   
                                                                                                                                                                                                                                                                                                                              
      CAMPANA LOW MONOBLOCK MURAL                     9/9 1/3 cv                                1000                        2              2000                800                                  2            2000          1000                 2            2000          1200                     2           2000         1400   
      CAMPANA LOW MONOBLOCK MURAL                     9/9 1/3 cv                                1200                        2              2000                800                                  2            2000          1000                 2            2000          1200                     2           2000         1400   
      CAMPANA LOW MONOBLOCK MURAL                     9/9 1/2 cv                                1200                        2              2000                800                                  2            2000          1000                 2            2000          1200                     2           2000         1400   
      CAMPANA LOW MONOBLOCK MURAL                     9/9 1/3 cv                                1500                        3              3000                800                                  3            3000          1000                 3            3000          1200                     3           3000         1400   
      CAMPANA LOW MONOBLOCK MURAL                     9/9 1/2 cv                                1500                        3              3000                800                                  3            3000          1000                 3            3000          1200                     3           3000         1400   
      CAMPANA LOW MONOBLOCK MURAL                     9/9 1/3 cv                                1700                        3              3000                800                                  3            3000          1000                 3            3000          1200                     3           3000         1400   
      CAMPANA LOW MONOBLOCK MURAL                     9/9 1/2 cv                                1700                        3              3000                800                                  3            3000          1000                 3            3000          1200                     3           3000         1400   
      CAMPANA LOW MONOBLOCK MURAL                     9/9 3/4 cv                                1700                        3              3000                800                                  3            3000          1000                 3            3000          1200                     3           3000         1400   
      CAMPANA LOW MONOBLOCK MURAL                     9/9 1/3 cv                                2000                        4              4000                800                                  4            4000          1000                 4            4000          1200                     4           4000         1400   
      CAMPANA LOW MONOBLOCK MURAL                     9/9 1/2 cv                                2000                        4              4000                800                                  4            4000          1000                 4            4000          1200                     4           4000         1400   
      CAMPANA LOW MONOBLOCK MURAL                     9/9 3/4 cv                                2000                        4              4000                800                                  4            4000          1000                 4            4000          1200                     4           4000         1400   
      CAMPANA LOW MONOBLOCK MURAL                     9/9 1/2 cv                                2200                        4              4000                800                                  4            4000          1000                 4            4000          1200                     4           4000         1400   
      CAMPANA LOW MONOBLOCK MURAL                     9/9 3/4 cv                                2200                        4              4000                800                                  4            4000          1000                 4            4000          1200                     4           4000         1400   
      CAMPANA LOW MONOBLOCK MURAL                     9/9 1/2 cv                                2400                        4              4000                800                                  4            4000          1000                 4            4000          1200                     4           4000         1400   
      CAMPANA LOW MONOBLOCK MURAL                     9/9 3/4 cv                                2400                        4              4000                800                                  4            4000          1000                 4            4000          1200                     4           4000         1400   
      CAMPANA LOW MONOBLOCK MURAL                     9/9 1/2 cv                                2500                        5              5000                800                                  5            5000          1000                 5            5000          1200                     5           5000         1400   
      CAMPANA LOW MONOBLOCK MURAL                     9/9 3/4 cv                                2500                        5              5000                800                                  5            5000          1000                 5            5000          1200                     5           5000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 1/2 cv                              2700                        5              5000                800                                  5            5000          1000                 5            5000          1200                     5           5000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 3/4 cv                              2700                        5              5000                800                                  5            5000          1000                 5            5000          1200                     5           5000         1400   
      CAMPANA LOW MONOBLOCK MURAL                    10/10 1 cv T                               2700                        5              5000                800                                  5            5000          1000                 5            5000          1200                     5           5000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 1/2 cv                              2900                        5              5000                800                                  5            5000          1000                 5            5000          1200                     5           5000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 3/4 cv                              2900                        5              5000                800                                  5            5000          1000                 5            5000          1200                     5           5000         1400   
      CAMPANA LOW MONOBLOCK MURAL                    10/10 1 cv T                               2900                        5              5000                800                                  5            5000          1000                 5            5000          1200                     5           5000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 1/2 cv                              3000                        6              6000                800                                  6            6000          1000                 6            6000          1200                     6           6000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 3/4 cv                              3000                        6              6000                800                                  6            6000          1000                 6            6000          1200                     6           6000         1400   
      CAMPANA LOW MONOBLOCK MURAL                    10/10 1 cv T                               3000                        6              6000                800                                  6            6000          1000                 6            6000          1200                     6           6000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 1/2 cv                              3200                        6              6000                800                                  6            6000          1000                 6            6000          1200                     6           6000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 3/4 cv                              3200                        6              6000                800                                  6            6000          1000                 6            6000          1200                     6           6000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 1/2 cv                              3400                        6              6000                800                                  6            6000          1000                 6            6000          1200                     6           6000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 3/4 cv                              3400                        6              6000                800                                  6            6000          1000                 6            6000          1200                     6           6000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 1/2 cv                              3500                        7              7000                800                                  7            7000          1000                 7            7000          1200                     7           7000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 3/4 cv                              3500                        7              7000                800                                  7            7000          1000                 7            7000          1200                     7           7000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 1/2 cv                              3600                        6              6000                800                                  6            6000          1000                 6            6000          1200                     6           6000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 3/4 cv                              3600                        6              6000                800                                  6            6000          1000                 6            6000          1200                     6           6000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 1/2 cv                              3700                        7              7000                800                                  7            7000          1000                 7            7000          1200                     7           7000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 3/4 cv                              3700                        7              7000                800                                  7            7000          1000                 7            7000          1200                     7           7000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 1/2 cv                              3900                        7              7000                800                                  7            7000          1000                 7            7000          1200                     7           7000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 3/4 cv                              3900                        7              7000                800                                  7            7000          1000                 7            7000          1200                     7           7000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 1/2 cv                              4000                        8              8000                800                                  8            8000          1000                 8            8000          1200                     8           8000         1400   
      CAMPANA LOW MONOBLOCK MURAL                   2 x 9/9 3/4 cv                              4000                        8              8000                800                                  8            8000          1000                 8            8000          1200                     8           8000         1400   
                                                                                                                                                                                                                                                                                                                              
                 MODELO                            MOTOR/VENTILADOR                             ANCHO                  N.º FILTROS         M3/H              FONDO                             N.º FILTROS       M3/H         FONDO             N.º FILTRO       M3/H         FONDO                N.º FILTROS      M3/H        FONDO   
                                                                                                                                                                                                                                                                                                                              
     CAMPANA LOW MONOBLOCK CENTRAL                     10/10 1 T                                1200                        4              4000               1400                                  4            4000          1800                 4            4000          2200                     4           4000         2500   
     CAMPANA LOW MONOBLOCK CENTRAL                     10/10 1 T                                1500                        6              6000               1400                                  6            6000          1800                 6            6000          2200                     6           6000         2500   
     CAMPANA LOW MONOBLOCK CENTRAL                     10/10 1 T                                1700                        6              6000               1400                                  6            6000          1800                 6            6000          2200                     6           6000         2500   
     CAMPANA LOW MONOBLOCK CENTRAL                     10/10 1 T                                2000                        8              8000               1400                                  8            8000          1800                 8            8000          2200                     8           8000         2500   
     CAMPANA LOW MONOBLOCK CENTRAL                     10/10 1 T                                2200                        8              8000               1400                                  8            8000          1800                 8            8000          2200                     8           8000         2500   
     CAMPANA LOW MONOBLOCK CENTRAL                     10/10 1 T                                2400                        8              8000               1400                                  8            8000          1800                 8            8000          2200                     8           8000         2500   
     CAMPANA LOW MONOBLOCK CENTRAL                     10/10 1 T                                2500                        10             10000              1400                                 10           10000          1800                 10          10000          2200                    10          10000         2500   
     CAMPANA LOW MONOBLOCK CENTRAL                     10/10 1 T                                2700                        10             10000              1400                                 10           10000          1800                 10          10000          2200                    10          10000         2500   
     CAMPANA LOW MONOBLOCK CENTRAL                   2 x 10/10 1 T                              2900                        10             10000              1400                                 10           10000          1800                 10          10000          2200                    10          10000         2500   
     CAMPANA LOW MONOBLOCK CENTRAL                   2 x 10/10 1 T                              3000                        12             12000              1400                                 12           12000          1800                 12          12000          2200                    12          12000         2500   
     CAMPANA LOW MONOBLOCK CENTRAL                   2 x 10/10 1 T                              3200                        12             12000              1400                                 12           12000          1800                 12          12000          2200                    12          12000         2500   
     CAMPANA LOW MONOBLOCK CENTRAL                   2 x 10/10 1 T                              3400                        12             12000              1400                                 12           12000          1800                 12          12000          2200                    12          12000         2500   
     CAMPANA LOW MONOBLOCK CENTRAL                   2 x 10/10 1 T                              3500                        14             14000              1400                                 14           14000          1800                 14          14000          2200                    14          14000         2500   
     CAMPANA LOW MONOBLOCK CENTRAL                   2 x 10/10 1 T                              3600                        12             12000              1400                                 12           12000          1800                 12          12000          2200                    12          12000         2500   
     CAMPANA LOW MONOBLOCK CENTRAL                   2 x 10/10 1 T                              3700                        14             14000              1400                                 14           14000          1800                 14          14000          2200                    14          14000         2500   
     CAMPANA LOW MONOBLOCK CENTRAL                   2 x 10/10 1 T                              3900                        14             14000              1400                                 14           14000          1800                 14          14000          2200                    14          14000         2500   
     CAMPANA LOW MONOBLOCK CENTRAL                   2 x 10/10 1 T                              4000                        16             16000              1400                                 16           16000          1800                 16          16000          2200                    16          16000         2500   
                                                                                                                                                                                                                                                                                                                              
                 MODELO                            MOTOR/VENTILADOR                             ANCHO                  N.º FILTROS         M3/H              FONDO                             N.º FILTROS       M3/H         FONDO             N.º FILTRO       M3/H         FONDO                N.º FILTROS      M3/H        FONDO   
                                                                                                                                                                                                                                                                                                                              
     CAMPANA LOW MONOBLOCK 400º/2H                9/9 3/4 cv 400º/2h                            1000                        2              2000                800                                  2            2000          1000                 2            2000          1200                     2           2000         1400   
     CAMPANA LOW MONOBLOCK 400º/2H                9/9 3/4 cv 400º/2h                            1200                        2              2000                800                                  2            2000          1000                 2            2000          1200                     2           2000         1400   
     CAMPANA LOW MONOBLOCK 400º/2H                9/9 3/4 cv 400º/2h                            1500                        3              3000                800                                  3            3000          1000                 3            3000          1200                     3           3000         1400   
     CAMPANA LOW MONOBLOCK 400º/2H                9/9 3/4 cv 400º/2h                            1700                        3              3000                800                                  3            3000          1000                 3            3000          1200                     3           3000         1400   
     CAMPANA LOW MONOBLOCK 400º/2H                9/9 3/4 cv 400º/2h                            2000                        4              4000                800                                  4            4000          1000                 4            4000          1200                     4           4000         1400   
     CAMPANA LOW MONOBLOCK 400º/2H                9/9 3/4 cv 400º/2h                            2200                        4              4000                800                                  4            4000          1000                 4            4000          1200                     4           4000         1400   
     CAMPANA LOW MONOBLOCK 400º/2H                9/9 3/4 cv 400º/2h                            2400                        4              4000                800                                  4            4000          1000                 4            4000          1200                     4           4000         1400   
     CAMPANA LOW MONOBLOCK 400º/2H                9/9 3/4 cv 400º/2h                            2500                        5              5000                800                                  5            5000          1000                 5            5000          1200                     5           5000         1400   
     CAMPANA LOW MONOBLOCK 400º/2H                9/9 3/4 cv 400º/2h                            2700                        5              5000                800                                  5            5000          1000                 5            5000          1200                     5           5000         1400   
     CAMPANA LOW MONOBLOCK 400º/2H                9/9 3/4 cv 400º/2h                            2900                        5              5000                800                                  5            5000          1000                 5            5000          1200                     5           5000         1400   
     CAMPANA LOW MONOBLOCK 400º/2H                9/9 3/4 cv 400º/2h                            3000                        6              6000                800                                  6            6000          1000                 6            6000          1200                     6           6000         1400   
     CAMPANA LOW MONOBLOCK 400º/2H              2 x 9/9 3/4 cv 400º/2h                          3200                        6              6000                800                                  6            6000          1000                 6            6000          1200                     6           6000         1400   
     CAMPANA LOW MONOBLOCK 400º/2H              2 x 9/9 3/4 cv 400º/2h                          3400                        6              6000                800                                  6            6000          1000                 6            6000          1200                     6           6000         1400   
     CAMPANA LOW MONOBLOCK 400º/2H              2 x 9/9 3/4 cv 400º/2h                          3500                        7              7000                800                                  7            7000          1000                 7            7000          1200                     7           7000         1400   
     CAMPANA LOW MONOBLOCK 400º/2H              2 x 9/9 3/4 cv 400º/2h                          3600                        6              6000                800                                  6            6000          1000                 6            6000          1200                     6           6000         1400   
     CAMPANA LOW MONOBLOCK 400º/2H              2 x 9/9 3/4 cv 400º/2h                          3700                        7              7000                800                                  7            7000          1000                 7            7000          1200                     7           7000         1400   
     CAMPANA LOW MONOBLOCK 400º/2H              2 x 9/9 3/4 cv 400º/2h                          3900                        7              7000                800                                  7            7000          1000                 7            7000          1200                     7           7000         1400   
     CAMPANA LOW MONOBLOCK 400º/2H              2 x 9/9 3/4 cv 400º/2h                          4000                        8              8000                800                                  8            8000          1000                 8            8000          1200                     8           8000         1400   
                                                                                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                                                                                              
          MÓDULOS RETENEDORES                                                                                                                                                                                                                                                                                                 
                                                                                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                                                                                              
                 MODELO                                  ANCHO                               N.º FILTROS                   M3/H           FONDO                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                              
          MÓDULO BÁSICO MURAL                            1000                                     2                        2000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            1200                                     2                        2000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            1500                                     3                        3000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            1700                                     3                        3000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            2000                                     4                        4000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            2200                                     4                        4000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            2400                                     4                        4000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            2500                                     5                        5000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            2700                                     5                        5000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            2900                                     5                        5000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            3000                                     6                        6000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            3200                                     6                        6000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            3400                                     6                        6000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            3500                                     7                        7000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            3600                                     6                        6000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            3700                                     7                        7000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            3900                                     7                        7000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            4000                                     8                        8000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            4200                                     8                        8000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            4400                                     8                        8000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            4500                                     9                        9000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            4600                                     8                        8000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            4700                                     9                        9000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            4900                                     9                        9000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            5000                                    10                       10000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            5100                                     9                        9000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            5200                                    10                       10000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            5400                                    10                       10000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            5500                                    11                       11000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            5600                                    10                       10000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            5700                                    11                       11000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            5900                                    11                       11000             570                                                                                                                                                                               
          MÓDULO BÁSICO MURAL                            6000                                    12                       12000             570                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                                                                                              
                 MODELO                                  ANCHO                               N.º FILTROS                   M3/H           FONDO                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                              
         MÓDULO BÁSICO CENTRAL                           1200                                     4                        4000             940                                                                                                                                                                               
         MÓDULO BÁSICO CENTRAL                           1500                                     6                        6000             940                                                                                                                                                                               
         MÓDULO BÁSICO CENTRAL                           1700                                     6                        6000             940                                                                                                                                                                               
         MÓDULO BÁSICO CENTRAL                           2000                                     8                        8000             940                                                                                                                                                                               
         MÓDULO BÁSICO CENTRAL                           2200                                     8                        8000             940                                                                                                                                                                               
         MÓDULO BÁSICO CENTRAL                           2400                                     8                        8000             940                                                                                                                                                                               
         MÓDULO BÁSICO CENTRAL                           2500                                    10                       10000             940                                                                                                                                                                               
         MÓDULO BÁSICO CENTRAL                           2700                                    10                       10000             940                                                                                                                                                                               
