"Unnamed: 0","Unnamed: 1","Unnamed: 2","Unnamed: 3","Unnamed: 4","Unnamed: 5","Unnamed: 6","Unnamed: 7","Unnamed: 8","Unnamed: 9","Unnamed: 10","Unnamed: 11","Unnamed: 12","Unnamed: 13","Unnamed: 14","Unnamed: 15","Unnamed: 16"
"","5700","11","CEOPIM5780","3746.4","","","CEOPIM5710","3946.39","","","CEOPIM5712","4269.89","","","",""
"","5900","11","CEOPIM5980","3797.81","","","CEOPIM5910","3996.62","","","CEOPIM5912","4328.06","","","",""
"","6000","12","CEOPIM6080","3905.79","","","CEOPIM6010","4112.67","","","CEOPIM6012","4448.77","","","",""
"","","","","","","","","","","","","","","","",""
"CAMPANA ÓPTIMA INTEGRAL CENTRAL","ANCHO","","Fondo 1400","","","","Fondo 1800","","","","Fondo 2200","","","","",""
"","","N.º FILTROS","REFERENCIA","PRECIO","","","REFERENCIA","PRECIO","","","REFERENCIA","PRECIO","","","",""
"","1200","4","CEOPIC1214","1816.92","","","CEOPIC1218","1894.05","","","CEOPIC1222","2145.54","","","",""
"","1500","6","CEOPIC1514","2131.47","","","CEOPIC1518","2230.63","","","CEOPIC1522","2508.4","","","",""
"","1700","6","CEOPIC1714","2289.17","","","CEOPIC1718","2410.22","","","CEOPIC1722","2693.47","","","",""
"","2000","8","CEOPIC2014","2618.64","","","CEOPIC2018","2769.75","","","CEOPIC2022","3063.77","","","",""
"","2200","8","CEOPIC2214","2678.09","","","CEOPIC2218","2837.97","","","CEOPIC2222","3143.98","","","",""
"","2400","8","CEOPIC2414","3257.83","","","CEOPIC2418","3484.06","","","CEOPIC2422","3773.1","","","",""
"","2500","10","CEOPIC2514","3012.51","","","CEOPIC2518","3200.47","","","CEOPIC2522","3515.54","","","",""
"","2700","10","CEOPIC2714","3572.39","","","CEOPIC2718","3820.64","","","CEOPIC2722","4135.96","","","",""
"","2900","10","CEOPIC2914","3730.08","","","CEOPIC2918","4000.23","","","CEOPIC2922","4321.03","","","",""
"","3000","12","CEOPIC3014","3886.94","","","CEOPIC3018","4157.22","","","CEOPIC3022","4498.83","","","",""
"","3200","12","CEOPIC3214","4044.64","","","CEOPIC3218","4336.81","","","CEOPIC3222","4683.9","","","",""
"","3400","12","CEOPIC3414","4202.33","","","CEOPIC3418","4516.39","","","CEOPIC3422","4868.96","","","",""
"","3500","14","CEOPIC3514","4374.11","","","CEOPIC3518","4696.34","","","CEOPIC3522","5054.2","","","",""
"","3600","12","CEOPIC3614","4698.74","","","CEOPIC3618","5074.07","","","CEOPIC3622","5400.66","","","",""
"","3700","14","CEOPIC3714","4531.81","","","CEOPIC3718","4875.93","","","CEOPIC3722","5239.26","","","",""
"","3900","14","CEOPIC3914","4591.25","","","CEOPIC3918","4944.15","","","CEOPIC3922","5319.48","","","",""
"","4000","16","CEOPIC4014","4861.28","","","CEOPIC4018","5235.46","","","CEOPIC4022","5609.57","","","",""
"","4200","16","CEOPIC4214","4920.72","","","CEOPIC4218","5303.68","","","CEOPIC4222","5689.78","","","",""
"","4400","16","CEOPIC4414","4980.17","","","CEOPIC4418","5371.9","","","CEOPIC4422","5769.99","","","",""
"","4500","18","CEOPIC4514","5255.15","","","CEOPIC4518","5666.19","","","CEOPIC4522","6061.34","","","",""
"","4600","16","CEOPIC4614","5643.25","","","CEOPIC4618","6106.4","","","CEOPIC4622","6496.52","","","",""
"","4700","18","CEOPIC4714","5314.59","","","CEOPIC4718","5734.4","","","CEOPIC4722","6141.55","","","",""
"","4900","18","CEOPIC4914","5957.8","","","CEOPIC4918","6442.98","","","CEOPIC4922","6859.39","","","",""
"","5000","20","CEOPIC5014","5649.01","","","CEOPIC5018","6096.91","","","CEOPIC5022","6513.11","","","",""
"","5100","18","CEOPIC5114","6115.5","","","CEOPIC5118","6622.57","","","CEOPIC5122","7044.45","","","",""
"","5200","20","CEOPIC5214","6302.19","","","CEOPIC5218","6825.47","","","CEOPIC5222","7237.13","","","",""
"","5400","20","CEOPIC5414","6444.97","","","CEOPIC5418","6982.1","","","CEOPIC5422","7414.76","","","",""
"","5500","22","CEOPIC5514","6616.75","","","CEOPIC5518","7162.06","","","CEOPIC5522","7600","","","",""
"","5600","20","CEOPIC5614","6504.41","","","CEOPIC5618","7050.32","","","CEOPIC5622","7494.97","","","",""
"","5700","22","CEOPIC5714","6774.44","","","CEOPIC5718","7341.64","","","CEOPIC5722","7785.06","","","",""
"","5900","22","CEOPIC5914","6735.63","","","CEOPIC5918","7298.49","","","CEOPIC5922","7760.42","","","",""
"","6000","24","CEOPIC6014","7103.91","","","CEOPIC6018","7701.18","","","CEOPIC6022","8155.36","","","",""
"","","","","","","","","","","","","","","","",""
"CAMPANA ÓPTIMA COMPENSADA MURAL","ANCHO","","FONDO 800","","","","FONDO 1000","","","","FONDO 1200","","","","",""
"","","N.º FILTROS","REFERENCIA","PRECIO","","","REFERENCIA","PRECIO","","","REFERENCIA","PRECIO","","","",""
"","1200","2","CEOPCM1280","1544.94","","","CEOPCM1210","1630.09","","","CEOPCM1212","1702.26","","","",""
"","1500","3","CEOPCM1580","1733.69","","","CEOPCM1510","1822.88","","","CEOPCM1512","1912.88","","","",""
"","1700","3","CEOPCM1780","1920.31","","","CEOPCM1710","2017.18","","","CEOPCM1712","2110.23","","","",""
"","2000","4","CEOPCM2080","2154.52","","","CEOPCM2010","2259.26","","","CEOPCM2012","2361.37","","","",""
"","2200","4","CEOPCM2280","2276.05","","","CEOPCM2210","2383.95","","","CEOPCM2212","2491.46","","","",""
"","2400","4","CEOPCM2480","2734.49","","","CEOPCM2410","2865.91","","","CEOPCM2412","2982.74","","","",""
"","2500","5","CEOPCM2580","2504.58","","","CEOPCM2510","2619.21","","","CEOPCM2512","2735.06","","","",""
"","2700","5","CEOPCM2780","2923.24","","","CEOPCM2710","3058.69","","","CEOPCM2712","3193.36","","","",""
"","2900","5","CEOPCM2980","3109.86","","","CEOPCM2910","3252.99","","","CEOPCM2912","3390.71","","","",""
"","3000","6","CEOPCM3080","3112","","","CEOPCM3010","3251.48","","","CEOPCM3012","3403.99","","","",""
"","3200","6","CEOPCM3280","3298.61","","","CEOPCM3210","3445.78","","","CEOPCM3212","3601.33","","","",""
"","3400","6","CEOPCM3480","3485.23","","","CEOPCM3410","3640.07","","","CEOPCM3412","3798.68","","","",""
"","3500","7","CEOPCM3580","3532.82","","","CEOPCM3510","3687.86","","","CEOPCM3512","3852.47","","","",""
"","3600","6","CEOPCM3680","3924.04","","","CEOPCM3610","4101.73","","","CEOPCM3612","4263.22","","","",""
"","3700","7","CEOPCM3780","3719.44","","","CEOPCM3710","3882.15","","","CEOPCM3712","4049.82","","","",""
"","3900","7","CEOPCM3980","3840.97","","","CEOPCM3910","4006.85","","","CEOPCM3912","4179.91","","","",""
"","4000","8","CEOPCM4080","3953.65","","","CEOPCM4010","4124.23","","","CEOPCM4012","4300.95","","","",""
"","4200","8","CEOPCM4280","4075.18","","","CEOPCM4210","4248.93","","","CEOPCM4212","4431.04","","","",""
"","4400","8","CEOPCM4480","4196.71","","","CEOPCM4410","4373.63","","","CEOPCM4412","4561.14","","","",""
"","4500","9","CEOPCM4580","4303.71","","","CEOPCM4510","4484.18","","","CEOPCM4512","4674.65","","","",""
"","4600","8","CEOPCM4680","4674.78","","","CEOPCM4610","4875.89","","","CEOPCM4612","5079.16","","","",""
"","4700","9","CEOPCM4780","4425.24","","","CEOPCM4710","4608.88","","","CEOPCM4712","4804.74","","","",""
"","4900","9","CEOPCM4980","4863.53","","","CEOPCM4910","5068.67","","","CEOPCM4912","5289.79","","","",""
"","5000","10","CEOPCM5080","4653.77","","","CEOPCM5010","4844.14","","","CEOPCM5012","5048.35","","","",""
"","5100","9","CEOPCM5180","5050.15","","","CEOPCM5110","5262.97","","","CEOPCM5112","5487.13","","","",""
"","5200","10","CEOPCM5280","5143.2","","","CEOPCM5210","5360.05","","","CEOPCM5212","5581.44","","","",""
"","5400","10","CEOPCM5480","5284.36","","","CEOPCM5410","5505.05","","","CEOPCM5412","5738.27","","","",""
"","5500","11","CEOPCM5580","5331.95","","","CEOPCM5510","5552.83","","","CEOPCM5512","5792.06","","","",""
"","5600","10","CEOPCM5680","5405.89","","","CEOPCM5610","5629.75","","","CEOPCM5612","5868.36","","","",""
"","5700","11","CEOPCM5780","5518.57","","","CEOPCM5710","5747.13","","","CEOPCM5712","5989.41","","","",""
