																
CAMPANA ÓPTIMA BÁSICA MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200					
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO				
	3400	6	CEOPCM3480	3.485,23 €			CEOPCM3410	3.640,07 €			CEOPCM3412	3.798,68 €				
	3500	7	CEOPCM3580	3.532,82 €			CEOPCM3510	3.687,86 €			CEOPCM3512	3.852,47 €				
	3600	6	CEOPCM3680	3.924,04 €			CEOPCM3610	4.101,73 €			CEOPCM3612	4.263,22 €				
	3700	7	CEOPCM3780	3.719,44 €			CEOPCM3710	3.882,15 €			CEOPCM3712	4.049,82 €				
	3900	7	CEOPCM3980	3.840,97 €			CEOPCM3910	4.006,85 €			CEOPCM3912	4.179,91 €				
	4000	8	CEOPCM4080	3.953,65 €			CEOPCM4010	4.124,23 €			CEOPCM4012	4.300,95 €				
	4200	8	CEOPCM4280	4.075,18 €			CEOPCM4210	4.248,93 €			CEOPCM4212	4.431,04 €				
	4400	8	CEOPCM4480	4.196,71 €			CEOPCM4410	4.373,63 €			CEOPCM4412	4.561,14 €				
	4500	9	CEOPCM4580	4.303,71 €			CEOPCM4510	4.484,18 €			CEOPCM4512	4.674,65 €				
	4600	8	CEOPCM4680	4.674,78 €			CEOPCM4610	4.875,89 €			CEOPCM4612	5.079,16 €				
	4700	9	CEOPCM4780	4.425,24 €			CEOPCM4710	4.608,88 €			CEOPCM4712	4.804,74 €				
	4900	9	CEOPCM4980	4.863,53 €			CEOPCM4910	5.068,67 €			CEOPCM4912	5.289,79 €				
	5000	10	CEOPCM5080	4.653,77 €			CEOPCM5010	4.844,14 €			CEOPCM5012	5.048,35 €				
	5100	9	CEOPCM5180	5.050,15 €			CEOPCM5110	5.262,97 €			CEOPCM5112	5.487,13 €				
	5200	10	CEOPCM5280	5.143,20 €			CEOPCM5210	5.360,05 €			CEOPCM5212	5.581,44 €				
	5400	10	CEOPCM5480	5.284,36 €			CEOPCM5410	5.505,05 €			CEOPCM5412	5.738,27 €				
	5500	11	CEOPCM5580	5.331,95 €			CEOPCM5510	5.552,83 €			CEOPCM5512	5.792,06 €				
