																
CAMPANA ÓPTIMA BÁSICA MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200					
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO				
	5200	20	CEPRIC5214	7.919,24 €			CEPRIC5218	8.582,92 €			CEPRIC5222	9.375,46 €			CEPRIC5225	9.919,64 €
	5400	20	CEPRIC5414	8.103,39 €			CEPRIC5418	8.547,96 €			CEPRIC5422	9.710,62 €			CEPRIC5425	10.232,37 €
	5500	22	CEPRIC5514	8.303,86 €			CEPRIC5518	9.037,48 €			CEPRIC5522	9.869,40 €			CEPRIC5525	10.432,75 €
	5600	20	CEPRIC5614	8.205,31 €			CEPRIC5618	8.641,75 €			CEPRIC5622	9.832,78 €			CEPRIC5625	10.326,26 €
	5700	22	CEPRIC5714	8.504,76 €			CEPRIC5718	9.139,47 €			CEPRIC5722	10.144,24 €			CEPRIC5725	10.727,34 €
	5900	22	CEPRIC5914	8.507,69 €			CEPRIC5918	9.225,04 €			CEPRIC5922	10.113,73 €			CEPRIC5925	10.620,53 €
	6000	24	CEPRIC6014	8.906,12 €			CEPRIC6018	9.730,98 €			CEPRIC6022	10.577,87 €			CEPRIC6025	11.222,30 €
																
CAMPANA PREMIUM COMPENSADA MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200				FONDO 1400	
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO
	1200	2	CEPRCM1280	1.808,19 €			CEPRCM1210	1.908,53 €			CEPRCM1212	2.148,96 €			CEPRCM1214	2.313,55 €
	1500	3	CEPRCM1580	2.084,94 €			CEPRCM1510	2.233,27 €			CEPRCM1512	2.500,72 €			CEPRCM1514	2.704,09 €
	1700	3	CEPRCM1780	2.297,49 €			CEPRCM1710	2.377,97 €			CEPRCM1712	2.764,00 €			CEPRCM1714	2.971,74 €
	2000	4	CEPRCM2080	2.579,83 €			CEPRCM2010	2.790,76 €			CEPRCM2012	3.068,47 €			CEPRCM2014	3.313,26 €
	2200	4	CEPRCM2280	2.692,15 €			CEPRCM2210	2.897,49 €			CEPRCM2212	3.194,67 €			CEPRCM2214	3.430,08 €
	2400	4	CEPRCM2480	3.391,46 €			CEPRCM2410	3.594,04 €			CEPRCM2412	3.951,11 €			CEPRCM2414	4.213,51 €
	2500	5	CEPRCM2580	2.989,69 €			CEPRCM2510	3.208,35 €			CEPRCM2512	3.542,58 €			CEPRCM2514	3.786,67 €
	2700	5	CEPRCM2780	3.668,22 €			CEPRCM2710	3.918,77 €			CEPRCM2712	4.302,87 €			CEPRCM2714	4.604,05 €
	2900	5	CEPRCM2980	3.880,77 €			CEPRCM2910	4.063,47 €			CEPRCM2912	4.566,15 €			CEPRCM2914	4.871,70 €
	3000	6	CEPRCM3080	3.944,98 €			CEPRCM3010	4.243,51 €			CEPRCM3012	4.654,63 €			CEPRCM3014	4.994,59 €
	3200	6	CEPRCM3280	4.157,53 €			CEPRCM3210	4.388,21 €			CEPRCM3212	4.917,91 €			CEPRCM3214	5.262,24 €
	3400	6	CEPRCM3480	4.370,08 €			CEPRCM3410	4.532,91 €			CEPRCM3412	5.181,19 €			CEPRCM3414	5.529,89 €
	3500	7	CEPRCM3580	4.439,87 €			CEPRCM3510	4.801,00 €			CEPRCM3512	5.222,39 €			CEPRCM3514	5.603,76 €
	3600	6	CEPRCM3680	4.974,74 €			CEPRCM3610	5.279,54 €			CEPRCM3612	5.753,27 €			CEPRCM3614	6.113,47 €
	3700	7	CEPRCM3780	4.652,42 €			CEPRCM3710	4.945,70 €			CEPRCM3712	5.485,67 €			CEPRCM3714	5.871,42 €
	3900	7	CEPRCM3980	4.764,73 €			CEPRCM3910	5.052,43 €			CEPRCM3912	5.611,87 €			CEPRCM3914	5.988,24 €
	4000	8	CEPRCM4080	4.934,76 €			CEPRCM4010	5.358,49 €			CEPRCM4012	5.790,14 €			CEPRCM4014	6.212,94 €
	4200	8	CEPRCM4280	5.047,07 €			CEPRCM4210	5.465,22 €			CEPRCM4212	5.916,34 €			CEPRCM4214	6.329,76 €
	4400	8	CEPRCM4480	5.159,38 €			CEPRCM4410	5.571,95 €			CEPRCM4412	6.042,54 €			CEPRCM4414	6.446,58 €
	4500	9	CEPRCM4580	5.344,62 €			CEPRCM4510	5.776,08 €			CEPRCM4512	6.264,25 €			CEPRCM4514	6.686,34 €
	4600	8	CEPRCM4680	5.953,36 €			CEPRCM4610	6.218,42 €			CEPRCM4612	6.983,35 €			CEPRCM4614	7.429,85 €
	4700	9	CEPRCM4780	5.456,93 €			CEPRCM4710	5.882,81 €			CEPRCM4712	6.390,45 €			CEPRCM4714	6.803,16 €
	4900	9	CEPRCM4980	6.230,11 €			CEPRCM4910	6.543,15 €			CEPRCM4912	7.335,10 €			CEPRCM4914	7.820,39 €
	5000	10	CEPRCM5080	5.754,48 €			CEPRCM5010	6.193,67 €			CEPRCM5012	6.738,36 €			CEPRCM5014	7.159,74 €
	5100	9	CEPRCM5180	6.442,67 €			CEPRCM5110	6.687,85 €			CEPRCM5112	7.598,39 €			CEPRCM5114	8.088,05 €
	5200	10	CEPRCM5280	6.518,04 €			CEPRCM5210	7.043,99 €			CEPRCM5212	7.592,30 €			CEPRCM5214	8.112,90 €
	5400	10	CEPRCM5480	6.725,01 €			CEPRCM5410	7.100,64 €			CEPRCM5412	7.902,86 €			CEPRCM5414	8.429,57 €
	5500	11	CEPRCM5580	6.794,79 €			CEPRCM5510	7.368,73 €			CEPRCM5512	7.944,06 €			CEPRCM5514	8.503,43 €
	5600	10	CEPRCM5680	6.837,32 €			CEPRCM5610	7.207,37 €			CEPRCM5612	8.029,06 €			CEPRCM5614	8.546,39 €
	5700	11	CEPRCM5780	7.007,35 €			CEPRCM5710	7.513,43 €			CEPRCM5712	8.207,34 €			CEPRCM5714	8.771,09 €
	5900	11	CEPRCM5980	7.019,42 €			CEPRCM5910	7.582,19 €			CEPRCM5912	8.196,46 €			CEPRCM5914	8.737,07 €
	6000	12	CEPRCM6080	7.289,69 €			CEPRCM6010	7.926,22 €			CEPRCM6012	8.511,81 €			CEPRCM6014	9.112,61 €
																
CAMPANA PREMIUM COMPENSADA CENTRAL	ANCHO		FONDO 1400				FONDO 1800				FONDO 2200				FONDO 2500	
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO
	1200	4	CEPRCC1214	3.251,63 €			CEPRCC1218	3.324,06 €			CEPRCC1222	3.863,20 €			CEPRCC1225	4.032,89 €
	1500	6	CEPRCC1514	3.799,90 €			CEPRCC1518	3.968,28 €			CEPRCC1522	4.561,47 €			CEPRCC1525	4.757,47 €
	1700	6	CEPRCC1714	4.153,96 €			CEPRCC1718	4.186,65 €			CEPRCC1722	5.016,99 €			CEPRCC1725	5.240,08 €
	2000	8	CEPRCC2014	4.712,63 €			CEPRCC2018	5.006,21 €			CEPRCC2022	5.619,93 €			CEPRCC2025	5.927,18 €
	2200	8	CEPRCC2214	4.803,49 €			CEPRCC2218	5.085,92 €			CEPRCC2222	5.738,58 €			CEPRCC2225	6.007,03 €
	2400	8	CEPRCC2414	6.010,73 €			CEPRCC2418	6.281,11 €			CEPRCC2422	7.019,82 €			CEPRCC2425	7.340,43 €
	2500	10	CEPRCC2514	5.413,16 €			CEPRCC2518	5.722,21 €			CEPRCC2522	6.448,97 €			CEPRCC2525	6.791,58 €
	2700	10	CEPRCC2714	6.559,00 €			CEPRCC2718	6.925,33 €			CEPRCC2722	7.718,09 €			CEPRCC2725	8.065,01 €
	2900	10	CEPRCC2914	6.913,06 €			CEPRCC2918	7.143,70 €			CEPRCC2922	8.173,61 €			CEPRCC2925	8.547,62 €
	3000	12	CEPRCC3014	7.107,26 €			CEPRCC3018	7.569,55 €			CEPRCC3022	8.416,35 €			CEPRCC3025	8.789,58 €
	3200	12	CEPRCC3214	7.461,33 €			CEPRCC3218	7.787,92 €			CEPRCC3222	8.871,88 €			CEPRCC3225	9.272,20 €
	3400	12	CEPRCC3414	7.815,39 €			CEPRCC3418	8.006,29 €			CEPRCC3422	9.327,40 €			CEPRCC3425	9.754,81 €
	3500	14	CEPRCC3514	8.019,99 €			CEPRCC3518	8.607,48 €			CEPRCC3522	9.474,81 €			CEPRCC3525	9.959,29 €
	3600	12	CEPRCC3614	8.769,83 €			CEPRCC3618	9.238,15 €			CEPRCC3622	10.176,44 €			CEPRCC3625	10.647,97 €
	3700	14	CEPRCC3714	8.374,06 €			CEPRCC3718	8.825,84 €			CEPRCC3722	9.930,34 €			CEPRCC3725	10.441,91 €
	3900	14	CEPRCC3914	8.464,93 €			CEPRCC3918	8.905,55 €			CEPRCC3922	10.048,99 €			CEPRCC3925	10.521,76 €
	4000	16	CEPRCC4014	8.932,72 €			CEPRCC4018	9.645,40 €			CEPRCC4022	10.533,27 €			CEPRCC4025	11.129,00 €
	4200	16	CEPRCC4214	9.023,59 €			CEPRCC4218	9.725,11 €			CEPRCC4222	10.651,92 €			CEPRCC4225	11.208,86 €
	4400	16	CEPRCC4414	9.114,46 €			CEPRCC4418	9.804,82 €			CEPRCC4422	10.770,57 €			CEPRCC4425	11.288,71 €
	4500	18	CEPRCC4514	9.633,26 €			CEPRCC4518	10.361,40 €			CEPRCC4522	11.362,31 €			CEPRCC4525	11.993,41 €
	4600	16	CEPRCC4614	10.574,50 €			CEPRCC4618	10.963,33 €			CEPRCC4622	12.484,02 €			CEPRCC4625	13.062,35 €
	4700	18	CEPRCC4714	9.724,13 €			CEPRCC4718	10.441,11 €			CEPRCC4722	11.480,96 €			CEPRCC4725	12.073,26 €
	4900	18	CEPRCC4914	11.122,76 €			CEPRCC4918	11.607,55 €			CEPRCC4922	13.182,29 €			CEPRCC4925	13.786,93 €
	5000	20	CEPRCC5014	10.333,80 €			CEPRCC5018	11.077,40 €			CEPRCC5022	12.191,35 €			CEPRCC5025	12.857,82 €
	5100	18	CEPRCC5114	11.476,83 €			CEPRCC5118	11.825,92 €			CEPRCC5122	13.637,81 €			CEPRCC5125	14.269,55 €
	5200	20	CEPRCC5214	11.691,82 €			CEPRCC5218	12.602,45 €			CEPRCC5222	13.689,89 €			CEPRCC5225	14.436,54 €
	5400	20	CEPRCC5414	12.035,49 €			CEPRCC5418	12.645,48 €			CEPRCC5422	14.240,75 €			CEPRCC5425	14.956,64 €
	5500	22	CEPRCC5514	12.240,08 €			CEPRCC5518	13.246,67 €			CEPRCC5522	14.388,15 €			CEPRCC5525	15.161,12 €
	5600	20	CEPRCC5614	12.126,36 €			CEPRCC5618	12.725,19 €			CEPRCC5622	14.359,40 €			CEPRCC5625	15.036,49 €
	5700	22	CEPRCC5714	12.594,15 €			CEPRCC5718	13.465,04 €			CEPRCC5722	14.843,68 €			CEPRCC5725	15.643,74 €
	5900	22	CEPRCC5914	12.421,82 €			CEPRCC5918	13.406,09 €			CEPRCC5922	14.625,45 €			CEPRCC5925	15.320,83 €
	6000	24	CEPRCC6014	13.152,81 €			CEPRCC6018	14.284,60 €			CEPRCC6022	15.446,61 €			CEPRCC6025	16.330,83 €
																
CAMPANA PREMIUM MONOBLOCK MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200				FONDO 1400	
MOTOR		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO
9/9 1/3 cv 	1000	2	CEPRMM9131080	1.573,16 €			CEPRMM9131010	1.656,36 €			CEPRMM9131012	1.829,06 €			CEPRMM9131014	1.948,87 €
9/9 1/3 cv 	1200	2	CEPRMM9131280	1.702,81 €			CEPRMM9131210	1.777,64 €			CEPRMM9131212	1.956,94 €			CEPRMM9131214	2.079,69 €
9/9 1/2 cv 	1200	2	CEPRMM9121280	1.718,21 €			CEPRMM9121210	1.793,04 €			CEPRMM9121212	1.972,34 €			CEPRMM9121214	2.095,09 €
9/9 1/3 cv 	1500	3	CEPRMM9131580	1.870,13 €			CEPRMM9131510	1.980,75 €			CEPRMM9131512	2.180,20 €			CEPRMM9131514	2.331,87 €
9/9 1/2 cv 	1500	3	CEPRMM9121580	1.885,53 €			CEPRMM9121510	1.996,15 €			CEPRMM9121512	2.195,60 €			CEPRMM9121514	2.347,27 €
9/9 1/3 cv 	1700	3	CEPRMM9131780	1.986,60 €			CEPRMM9131710	2.046,62 €			CEPRMM9131712	2.334,50 €			CEPRMM9131714	2.489,43 €
9/9 1/2 cv 	1700	3	CEPRMM9121780	2.002,00 €			CEPRMM9121710	2.062,02 €			CEPRMM9121712	2.349,90 €			CEPRMM9121714	2.504,83 €
9/9 3/4 cv 	1700	3	CEPRMM9341780	2.028,40 €			CEPRMM9341710	2.088,42 €			CEPRMM9341712	2.376,30 €			CEPRMM9341714	2.531,23 €
9/9 1/3 cv 	2000	4	CEPRMM9132080	2.162,82 €			CEPRMM9132010	2.320,12 €			CEPRMM9132012	2.527,23 €			CEPRMM9132014	2.709,78 €
9/9 1/2 cv 	2000	4	CEPRMM9122080	2.178,22 €			CEPRMM9122010	2.335,52 €			CEPRMM9122012	2.542,63 €			CEPRMM9122014	2.725,18 €
9/9 3/4 cv 	2000	4	CEPRMM9342080	2.204,62 €			CEPRMM9342010	2.361,92 €			CEPRMM9342012	2.569,03 €			CEPRMM9342014	2.751,58 €
9/9 1/2 cv 	2200	4	CEPRMM9122280	2.270,07 €			CEPRMM9122210	2.423,21 €			CEPRMM9122212	2.644,84 €			CEPRMM9122214	2.820,40 €
9/9 3/4 cv 	2200	4	CEPRMM9342280	2.296,47 €			CEPRMM9342210	2.449,61 €			CEPRMM9342212	2.671,24 €			CEPRMM9342214	2.846,80 €
9/9 1/2 cv 	2400	4	CEPRMM9122480	2.705,49 €			CEPRMM9122410	2.856,56 €			CEPRMM9122412	3.122,86 €			CEPRMM9122414	3.318,54 €
9/9 3/4 cv 	2400	4	CEPRMM9342480	2.731,89 €			CEPRMM9342410	2.882,96 €			CEPRMM9342412	3.149,26 €			CEPRMM9342414	3.344,94 €
9/9 1/2 cv 	2500	5	CEPRMM9122580	2.450,31 €			CEPRMM9122510	2.613,37 €			CEPRMM9122512	2.862,63 €			CEPRMM9122514	3.044,66 €
9/9 3/4 cv 	2500	5	CEPRMM9342580	2.476,71 €			CEPRMM9342510	2.639,77 €			CEPRMM9342512	2.889,03 €			CEPRMM9342514	3.071,06 €
2 x 9/9 1/2 cv	2700	5	CEPRMM9122780	3.436,01 €			CEPRMM9122710	3.622,87 €			CEPRMM9122712	3.909,31 €			CEPRMM9122714	4.133,92 €
2 x 9/9 3/4 cv	2700	5	CEPRMM9342780	3.488,81 €			CEPRMM9342710	3.675,67 €			CEPRMM9342712	3.962,11 €			CEPRMM9342714	4.186,72 €
10/10 1 cv T	2700	5	CEPRMM1012780	2.899,21 €			CEPRMM1012710	3.086,07 €			CEPRMM1012712	3.372,51 €			CEPRMM1012714	3.597,12 €
2 x 9/9 1/2 cv	2900	5	CEPRMM9122980	3.552,48 €			CEPRMM9122910	3.688,73 €			CEPRMM9122912	4.063,61 €			CEPRMM9122914	4.291,48 €
2 x 9/9 3/4 cv	2900	5	CEPRMM9342980	3.605,28 €			CEPRMM9342910	3.741,53 €			CEPRMM9342912	4.116,41 €			CEPRMM9342914	4.344,28 €
10/10 1 cv T	2900	5	CEPRMM1012980	3.015,68 €			CEPRMM1012910	3.151,93 €			CEPRMM1012912	3.526,81 €			CEPRMM1012914	3.754,68 €
2 x 9/9 1/2 cv	3000	6	CEPRMM9123080	3.603,34 €			CEPRMM9123010	3.825,97 €			CEPRMM9123012	4.132,57 €			CEPRMM9123014	4.386,10 €
2 x 9/9 3/4 cv	3000	6	CEPRMM9343080	3.656,14 €			CEPRMM9343010	3.878,77 €			CEPRMM9343012	4.185,37 €			CEPRMM9343014	4.438,90 €
10/10 1 cv T	3000	6	CEPRMM1013080	3.066,54 €			CEPRMM1013010	3.289,17 €			CEPRMM1013012	3.595,77 €			CEPRMM1013014	3.849,30 €
2 x 9/9 1/2 cv	3200	6	CEPRMM9123280	3.719,80 €			CEPRMM9123210	3.891,84 €			CEPRMM9123212	4.286,87 €			CEPRMM9123214	4.543,66 €
2 x 9/9 3/4 cv	3200	6	CEPRMM9343280	3.772,60 €			CEPRMM9343210	3.944,64 €			CEPRMM9343212	4.339,67 €			CEPRMM9343214	4.596,46 €
2 x 9/9 1/2 cv	3400	6	CEPRMM9123480	3.836,27 €			CEPRMM9123410	3.957,71 €			CEPRMM9123412	4.441,17 €			CEPRMM9123414	4.701,22 €
2 x 9/9 3/4 cv	3400	6	CEPRMM9343480	3.889,07 €			CEPRMM9343410	4.010,51 €			CEPRMM9343412	4.493,97 €			CEPRMM9343414	4.754,02 €
2 x 9/9 1/2 cv	3500	7	CEPRMM9123580	3.896,02 €			CEPRMM9123510	4.165,34 €			CEPRMM9123512	4.479,60 €			CEPRMM9123514	4.764,01 €
2 x 9/9 3/4 cv	3500	7	CEPRMM9343580	3.948,82 €			CEPRMM9343510	4.218,14 €			CEPRMM9343512	4.532,40 €			CEPRMM9343514	4.816,81 €
2 x 9/9 1/2 cv	3600	6	CEPRMM9123680	4.255,97 €			CEPRMM9123610	4.483,28 €			CEPRMM9123612	4.836,57 €			CEPRMM9123614	5.105,20 €
2 x 9/9 3/4 cv	3600	6	CEPRMM9343680	4.308,77 €			CEPRMM9343610	4.536,08 €			CEPRMM9343612	4.889,37 €			CEPRMM9343614	5.158,00 €
2 x 9/9 1/2 cv	3700	7	CEPRMM9123780	4.012,49 €			CEPRMM9123710	4.231,21 €			CEPRMM9123712	4.633,90 €			CEPRMM9123714	4.921,57 €
2 x 9/9 3/4 cv	3700	7	CEPRMM9343780	4.065,29 €			CEPRMM9343710	4.284,01 €			CEPRMM9343712	4.686,70 €			CEPRMM9343714	4.974,37 €
2 x 9/9 1/2 cv	3900	7	CEPRMM9123980	4.104,35 €			CEPRMM9123910	4.318,90 €			CEPRMM9123912	4.736,11 €			CEPRMM9123914	5.016,79 €
2 x 9/9 3/4 cv	3900	7	CEPRMM9343980	4.157,15 €			CEPRMM9343910	4.371,70 €			CEPRMM9343912	4.788,91 €			CEPRMM9343914	5.069,59 €
2 x 9/9 1/2 cv	4000	8	CEPRMM9124080	4.188,71 €			CEPRMM9124010	4.504,71 €			CEPRMM9124012	4.826,62 €			CEPRMM9124014	5.141,93 €
2 x 9/9 3/4 cv	4000	8	CEPRMM9344080	4.241,51 €			CEPRMM9344010	4.557,51 €			CEPRMM9344012	4.879,42 €			CEPRMM9344014	5.194,73 €
																
CAMPANA PREMIUM MONOBLOCK CENTRAL	ANCHO		FONDO 1400				FONDO 1800				FONDO 2200				FONDO 2500	
MOTOR		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO
10/10 1 T	1200	4	CEPRMC1011214	2.577,52 €			CEPRMC1011218	2.629,07 €			CEPRMC1011222	3.012,87 €			CEPRMC1011225	3.133,66 €
10/10 1 T	1500	6	CEPRMC1011514	2.880,40 €			CEPRMC1011518	3.000,27 €			CEPRMC1011522	3.422,54 €			CEPRMC1011525	3.562,06 €
10/10 1 T	1700	6	CEPRMC1011714	3.052,22 €			CEPRMC1011718	3.075,49 €			CEPRMC1011722	3.666,58 €			CEPRMC1011725	3.825,39 €
10/10 1 T	2000	8	CEPRMC1012014	3.354,92 €			CEPRMC1012018	3.563,91 €			CEPRMC1012022	4.000,79 €			CEPRMC1012025	4.219,51 €
10/10 1 T	2200	8	CEPRMC1012214	3.454,09 €			CEPRMC1012218	3.655,13 €			CEPRMC1012222	4.119,74 €			CEPRMC1012225	4.310,84 €
10/10 1 T	2400	8	CEPRMC1012414	4.147,33 €			CEPRMC1012418	4.339,79 €			CEPRMC1012422	4.865,66 €			CEPRMC1012425	5.093,89 €
10/10 1 T	2500	10	CEPRMC1012514	3.780,99 €			CEPRMC1012518	4.000,98 €			CEPRMC1012522	4.518,34 €			CEPRMC1012525	4.762,23 €
10/10 1 T	2700	10	CEPRMC1012714	4.918,72 €			CEPRMC1012718	5.179,50 €			CEPRMC1012722	5.743,84 €			CEPRMC1012725	5.990,80 €
2 x 10/10 1 T	2900	10	CEPRMC1012914	5.090,54 €			CEPRMC1012918	5.254,72 €			CEPRMC1012922	5.987,88 €			CEPRMC1012925	6.254,13 €
2 x 10/10 1 T	3000	12	CEPRMC1013014	5.410,19 €			CEPRMC1013018	5.739,28 €			CEPRMC1013022	6.342,08 €			CEPRMC1013025	6.607,78 €
2 x 10/10 1 T	3200	12	CEPRMC1013214	5.582,01 €			CEPRMC1013218	5.814,50 €			CEPRMC1013222	6.586,13 €			CEPRMC1013225	6.871,11 €
2 x 10/10 1 T	3400	12	CEPRMC1013414	5.753,83 €			CEPRMC1013418	5.889,72 €			CEPRMC1013422	6.830,18 €			CEPRMC1013425	7.134,44 €
2 x 10/10 1 T	3500	14	CEPRMC1013514	5.884,70 €			CEPRMC1013518	6.302,92 €			CEPRMC1013522	6.920,34 €			CEPRMC1013525	7.265,23 €
2 x 10/10 1 T	3600	12	CEPRMC1013614	6.374,22 €			CEPRMC1013618	6.707,60 €			CEPRMC1013622	7.375,54 €			CEPRMC1013625	7.711,20 €
2 x 10/10 1 T	3700	14	CEPRMC1013714	6.056,53 €			CEPRMC1013718	6.378,14 €			CEPRMC1013722	7.164,39 €			CEPRMC1013725	7.528,56 €
2 x 10/10 1 T	3900	14	CEPRMC1013914	6.155,69 €			CEPRMC1013918	6.469,36 €			CEPRMC1013922	7.283,33 €			CEPRMC1013925	7.619,88 €
2 x 10/10 1 T	4000	16	CEPRMC1014014	6.359,22 €			CEPRMC1014018	6.866,56 €			CEPRMC1014022	7.498,60 €			CEPRMC1014025	7.922,68 €
																
CAMPANA PREMIUM MONOBLOCK 400º/2H	ANCHO		FONDO 800				FONDO 1000				FONDO 1200				FONDO 1400	
MOTOR		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO
9/9 3/4 cv 400º/2h	1000	2	CEPRM4M1080	2.505,58 €			CEPRM4M1010	2.590,68 €			CEPRM4M1012	2.767,30 €			CEPRM4M1014	2.889,84 €
9/9 3/4 cv 400º/2h	1200	2	CEPRM4M1280	2.638,18 €			CEPRM4M1210	2.714,72 €			CEPRM4M1212	2.898,09 €			CEPRM4M1214	3.023,63 €
9/9 3/4 cv 400º/2h	1500	3	CEPRM4M1580	2.809,31 €			CEPRM4M1510	2.922,44 €			CEPRM4M1512	3.126,42 €			CEPRM4M1514	3.281,54 €
9/9 3/4 cv 400º/2h	1700	3	CEPRM4M1780	2.928,42 €			CEPRM4M1710	2.989,80 €			CEPRM4M1712	3.284,23 €			CEPRM4M1714	3.442,68 €
9/9 3/4 cv 400º/2h	2000	4	CEPRM4M2080	3.108,65 €			CEPRM4M2010	3.269,52 €			CEPRM4M2012	3.481,34 €			CEPRM4M2014	3.668,04 €
9/9 3/4 cv 400º/2h	2200	4	CEPRM4M2280	3.202,59 €			CEPRM4M2210	3.359,21 €			CEPRM4M2212	3.585,87 €			CEPRM4M2214	3.765,42 €
9/9 3/4 cv 400º/2h	2400	4	CEPRM4M2480	3.647,90 €			CEPRM4M2410	3.802,40 €			CEPRM4M2412	4.074,75 €			CEPRM4M2414	4.274,88 €
9/9 3/4 cv 400º/2h	2500	5	CEPRM4M2580	3.386,91 €			CEPRM4M2510	3.553,68 €			CEPRM4M2512	3.808,61 €			CEPRM4M2514	3.994,77 €
9/9 3/4 cv 400º/2h	2700	5	CEPRM4M2780	3.819,02 €			CEPRM4M2710	4.010,12 €			CEPRM4M2712	4.303,08 €			CEPRM4M2714	4.532,79 €
9/9 3/4 cv 400º/2h	2900	5	CEPRM4M2980	3.938,14 €			CEPRM4M2910	4.077,49 €			CEPRM4M2912	4.460,89 €			CEPRM4M2914	4.693,93 €
9/9 3/4 cv 400º/2h	3000	6	CEPRM4M3080	3.990,15 €			CEPRM4M3010	4.217,84 €			CEPRM4M3012	4.531,41 €			CEPRM4M3014	4.790,70 €
2 x 9/9 3/4 cv 400º/2h	3200	6	CEPRM4M3280	5.566,19 €			CEPRM4M3210	5.742,13 €			CEPRM4M3212	6.146,14 €			CEPRM4M3214	6.408,76 €
2 x 9/9 3/4 cv 400º/2h	3400	6	CEPRM4M3480	5.685,30 €			CEPRM4M3410	5.809,49 €			CEPRM4M3412	6.303,94 €			CEPRM4M3414	6.569,90 €
2 x 9/9 3/4 cv 400º/2h	3500	7	CEPRM4M3580	5.746,41 €			CEPRM4M3510	6.021,85 €			CEPRM4M3512	6.343,25 €			CEPRM4M3514	6.634,13 €
2 x 9/9 3/4 cv 400º/2h	3600	6	CEPRM4M3680	6.114,54 €			CEPRM4M3610	6.347,01 €			CEPRM4M3612	6.708,33 €			CEPRM4M3614	6.983,06 €
2 x 9/9 3/4 cv 400º/2h	3700	7	CEPRM4M3780	5.865,53 €			CEPRM4M3710	6.089,21 €			CEPRM4M3712	6.501,05 €			CEPRM4M3714	6.795,27 €
2 x 9/9 3/4 cv 400º/2h	3900	7	CEPRM4M3980	5.959,47 €			CEPRM4M3910	6.178,90 €			CEPRM4M3912	6.605,59 €			CEPRM4M3914	6.892,65 €
2 x 9/9 3/4 cv 400º/2h	4000	8	CEPRM4M4080	6.045,75 €			CEPRM4M4010	6.368,93 €			CEPRM4M4012	6.698,16 €			CEPRM4M4014	7.020,63 €
																
CAMPANA INDUCTORA MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200				FONDO 1400	
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO
	1000	2	CEIDM1080	2.169,82 €			CEIDM1010	2.290,24 €			CEIDM1012	2.578,75 €			CEIDM1014	2.776,26 €
	1200	2	CEIDM1280	2.501,93 €			CEIDM1210	2.679,92 €			CEIDM1212	3.000,86 €			CEIDM1214	3.244,91 €
	1500	3	CEIDM1580	2.756,99 €			CEIDM1510	2.853,56 €			CEIDM1512	3.316,80 €			CEIDM1514	3.566,09 €
	1700	3	CEIDM1780	3.095,80 €			CEIDM1710	3.348,91 €			CEIDM1712	3.682,17 €			CEIDM1714	3.975,92 €
	2000	4	CEIDM2080	3.230,57 €			CEIDM2010	3.476,99 €			CEIDM2012	3.833,61 €			CEIDM2014	4.116,10 €
	2200	4	CEIDM2280	4.069,76 €			CEIDM2210	4.312,84 €			CEIDM2212	4.741,33 €			CEIDM2214	5.056,21 €
	2400	4	CEIDM2480	3.587,63 €			CEIDM2410	3.850,02 €			CEIDM2412	4.251,10 €			CEIDM2414	4.544,00 €
	2500	5	CEIDM2580	4.401,86 €			CEIDM2510	4.702,53 €			CEIDM2512	5.163,44 €			CEIDM2514	5.524,86 €
	2700	5	CEIDM2780	4.656,93 €			CEIDM2710	4.876,17 €			CEIDM2712	5.479,38 €			CEIDM2714	5.846,04 €
	2900	5	CEIDM2980	4.733,97 €			CEIDM2910	5.092,21 €			CEIDM2912	5.585,55 €			CEIDM2914	5.993,50 €
	3000	6	CEIDM3080	4.989,03 €			CEIDM3010	5.265,85 €			CEIDM3012	5.901,49 €			CEIDM3014	6.314,69 €
	3200	6	CEIDM3280	5.244,10 €			CEIDM3210	5.439,49 €			CEIDM3212	6.217,43 €			CEIDM3214	6.635,87 €
	3400	6	CEIDM3480	5.327,84 €			CEIDM3410	5.761,20 €			CEIDM3412	6.266,86 €			CEIDM3414	6.724,51 €
	3500	7	CEIDM3580	5.969,69 €			CEIDM3510	6.335,45 €			CEIDM3512	6.903,92 €			CEIDM3514	7.336,17 €
